Word,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
disobliging,disobliging,X,disobliging,disoblige,,1,Step 1: SUBTLEX-UK,disoblige,False,disoblige
disordered,disorder,VERB,disordered,disordered,Adjective,1,Step 1: SUBTLEX-UK,disordered,False,disordered
disorients,disorient,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,disorients,False,disorients
disparaged,disparage,VERB,disparaged,disparaged,Verb,1,Step 1: SUBTLEX-UK,disparaged,False,disparaged
displeased,displease,VERB,displeased,displeased,Adjective,1,Step 1: SUBTLEX-UK,displeased,False,displeased
dispossessed,dispossess,VERB,dispossessed,dispossessed,Verb,1,Step 1: SUBTLEX-UK,dispossessed,False,dispossessed
dispossesses,dispossesse,NOUN,,,Verb,2,Step 2: SUBTLEX-US + NLTK,dispossess,False,dispossess
disqualifies,disqualifie,NOUN,disqualifies,disqualify,Verb,1,Step 1: SUBTLEX-UK,disqualify,False,disqualify
disquieting,disquiet,VERB,disquieting,disquieting,Adjective,1,Step 1: SUBTLEX-UK,disquieting,False,disquieting
dissatisfied,dissatisfied,ADJ,dissatisfied,dissatisfy,Adjective,1,Step 1: SUBTLEX-UK,dissatisfy,False,dissatisfy
distended,distend,VERB,distended,distended,Verb,1,Step 1: SUBTLEX-UK,distended,False,distended
distinguished,distinguish,VERB,distinguished,distinguished,Adjective,1,Step 1: SUBTLEX-UK,distinguished,False,distinguished
distinguishes,distinguishe,NOUN,distinguishes,distinguish,Verb,1,Step 1: SUBTLEX-UK,distinguish,False,distinguish
distorted,distort,VERB,distorted,distorted,Adjective,1,Step 1: SUBTLEX-UK,distorted,False,distorted
distressed,distress,VERB,distressed,distressed,Verb,1,Step 1: SUBTLEX-UK,distressed,False,distressed
distressing,distress,VERB,distressing,distressing,Adjective,1,Step 1: SUBTLEX-UK,distressing,False,distressing
distributor's,distributor',VERB,,,,3,Step 3: spaCy fallback,distributor',True,distributor's
disturbing,disturb,VERB,disturbing,disturbing,Adjective,1,Step 1: SUBTLEX-UK,disturbing,False,disturbing
disused,disuse,VERB,disused,disused,Adjective,1,Step 1: SUBTLEX-UK,disused,False,disused
diversifies,diversifie,NOUN,diversifies,diversify,Verb,1,Step 1: SUBTLEX-UK,diversify,False,diversify
divertissements,divertissement,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,divertissements,False,divertissements
divine's,divine',NOUN,,,,3,Step 3: spaCy fallback,divine',True,divine's
divorced,divorced,ADJ,divorced,divorce,Verb,1,Step 1: SUBTLEX-UK,divorce,False,divorce
divvying,divvye,VERB,divvying,divvy,Verb,1,Step 1: SUBTLEX-UK,divvy,False,divvy
dizzies,dizzie,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,dizzies,False,dizzies
dizziest,dizzy,ADJ,dizziest,dizziest,,1,Step 1: SUBTLEX-UK,dizziest,False,dizziest
dizzying,dizzy,VERB,dizzying,dizzying,Adjective,1,Step 1: SUBTLEX-UK,dizzying,False,dizzying
DJANGO'S,django's,NOUN,,,,3,Step 3: spaCy fallback,django's,True,DJANGO'S
DOATY'S,doaty's,NOUN,,,,3,Step 3: spaCy fallback,doaty's,True,DOATY'S
dobbed,dobbe,VERB,dobbed,dobb,,1,Step 1: SUBTLEX-UK,dobb,False,dobb
dobbing,dobbe,VERB,dobbing,dobb,,1,Step 1: SUBTLEX-UK,dobb,False,dobb
dobbins,dobbin,VERB,dobbins,dobbins,Name,1,Step 1: SUBTLEX-UK,dobbins,False,dobbins
documenting,documenting,NOUN,documenting,document,Verb,1,Step 1: SUBTLEX-UK,document,False,document
DODGE'S,dodge's,ADV,,,,3,Step 3: spaCy fallback,dodge's,True,DODGE'S
dodged,dodged,ADJ,dodged,dodge,Verb,1,Step 1: SUBTLEX-UK,dodge,False,dodge
dodgiest,dodgy,ADJ,dodgiest,dodgiest,,1,Step 1: SUBTLEX-UK,dodgiest,False,dodgiest
DOESN'S,doesn',NOUN,,,,3,Step 3: spaCy fallback,doesn',True,DOESN'S
dog's,dog',NOUN,,,,3,Step 3: spaCy fallback,dog',True,dog's
dogcatchers,dogcatcher,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,dogcatchers,False,dogcatchers
doggoned,doggone,VERB,doggoned,doggon,Verb,1,Step 1: SUBTLEX-UK,doggon,False,doggon
dogies,dogie,NOUN,dogies,dogy,Noun,1,Step 1: SUBTLEX-UK,dogy,False,dogy
doings,doing,NOUN,doings,doings,Noun,1,Step 1: SUBTLEX-UK,doings,False,doings
