idx,Word,Lemma,embedding_source,embedding_lookup,vector_norm_raw
4861,areas,area,Word,areas,2.46725652857135
4867,arena,arena,Word,arena,2.807564213586749
4868,arenas,arena,Word,arenas,3.072087772246327
4908,argue,argue,Word,argue,2.5579708199369766
4909,argued,argue,Word,argued,2.7413168155817345
4911,argues,argue,Word,argues,2.6941942279233455
4913,arguing,argue,Word,arguing,2.303344850305238
4914,argument,argument,Word,argument,2.9357235842402556
4919,arguments,argument,Word,arguments,3.0514597174404203
4950,aristocracies,aristocracy,Lemma,aristocracy,3.5580645647744396
4951,aristocracy,aristocracy,Word,aristocracy,3.5580645647744396
4956,aristocrats,aristocrat,Word,aristocrats,3.402539701916635
4960,arithmetic,arithmetic,Word,arithmetic,3.3218480238218016
4978,arm,arm,Word,arm,2.7870628897959535
4996,armchair,armchair,Word,armchair,3.2963555372335045
