embedding_dimension,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
W2V_095,-0.06186516101954479,-0.06306876684576428,0.012344405567147944,0.013798452894270856,0.006120555784036703,0.02973481790628476,-0.01510752481730945,-0.0008446242758488363
W2V_096,0.025009893443433472,-0.00037628152182977623,0.05854198925864645,0.04729347870546935,0.0484816977728787,-0.0808509652154522,-0.0370804376224844,-0.05435129409326959
W2V_097,0.02412089670703408,0.06589976114706829,0.04708330737984374,0.016973953852645492,-0.022194911450661093,-0.04999622025341082,0.0052761870338049,-0.047244338683113694
W2V_098,-0.14023675516560372,0.12931976356789926,0.03475067079572476,-0.01691586769565756,-0.01629233363773484,0.03259233084298983,0.0859559937708301,0.06003325194465264
W2V_099,0.0708035358917147,-0.140509200470846,0.0009274538690623818,-0.02206746185107321,-0.049617582196784527,-0.06647674734689854,0.04383150549911864,-0.055235310836192736
W2V_100,-0.08362137706320716,-0.010733952987941999,-0.13320085842930665,0.0388299975427382,-0.09071113377849226,-0.045136177117766206,0.015835289951275686,-0.028404486238177543
W2V_101,-0.014160225302652594,-0.08773728473106547,-0.03564322468905093,-0.023861880181407755,0.0325390961347641,-0.05609603356920999,-0.0616442015835999,-0.01007900035882656
W2V_102,-0.027834486949751016,-0.003242561900177869,0.06926050788870981,0.048996120641681684,0.08838712060850017,-0.0599918228908438,0.049603427729763165,0.05467413278188052
W2V_103,0.054098697405688095,0.053132847676517526,0.02638624812780171,-0.02759101472920382,-0.014514564495732267,-0.050195847127110726,0.01144047716672899,-0.0006148888155204115
W2V_104,-0.06431590811022982,-0.05162480296506822,0.05287257160087126,-0.07095562085584518,0.02777286008566749,0.020362622341478277,0.07817941876927277,0.03719908368178392
W2V_105,-0.02510941638903867,0.00031939019131516414,0.06729881910101732,-0.10177464264750663,-0.05205630954409823,-0.02532024042733617,-0.10715266598550771,-0.044411504205468286
W2V_106,0.0267949695018779,0.013394028598570612,0.02290307196501058,-0.0037737229442441214,0.01722103473057487,0.06066112837420787,-0.09809550914475702,-0.04366318806553914
W2V_107,0.11917796267176768,0.08517304175869461,-0.03990887191918218,-0.03892343383157755,-0.028186284933887643,0.09966065740647136,0.02315165504803614,0.03088818106454614
W2V_108,0.10528374191816964,-0.013450358413818482,0.02215184910802315,0.059616374895409725,0.03284407727423419,0.003714499567698924,-0.011535718863457299,-0.03657745610505906
W2V_109,-0.04567799885384881,-0.007815686752283878,0.06247832366984908,0.018510693427046164,-0.09649540838305497,0.003785293520297102,-0.08582661505280482,0.010696392287372647
W2V_110,-0.018551790180198327,-0.04455828693867922,0.02491000737785786,-0.04430474523137137,0.011826529006213069,0.024713759992945686,-0.0841558403038087,0.012186677650741589
