factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,10,0.015355119151388092,0.010336456831524374,-0.030139486097756785,0.09266964079771818
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,10,-0.005496596729351127,0.01574557710989642,-0.07833832832275649,0.07112122335192547
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,10,0.012923722652994532,0.014557318199957748,-0.05537797273209808,0.07645312952919092
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,10,0.007488190065414246,-0.0038320123583254683,-0.05344657795415787,0.1113463529751848
F2_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.012475971556073892,0.004057034636926224,-0.07973379952062487,0.19736497382790213
F2_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,10,0.013553513412002276,0.01745237626281898,-0.1293680025994651,0.10016582852281572
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.009563666236476802,-0.004603675120742296,-0.09861606166517772,0.05481581062043755
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,3.0,10,0.006381667608135588,0.011032708954402257,-0.08672180955336223,0.05130084050530262
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.019479622898703433,0.00151690048577825,-0.06826615651480736,0.09824014868753193
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.0094653765143709,0.002588574136769043,-0.08936283979513983,0.08227466540585432
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.013138690115113207,0.015034441572092324,-0.05394657593945841,0.059576628629783086
F2_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.03789643008264209,0.05143253340338168,-0.056205636849813265,0.19015380898355788
F2_n8,spectral_centroid_hz,collapsed_factor_vs_raw_feature,,10,0.006813967801147826,0.02791886413869998,-0.10115873629072988,0.09448648815147472
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.0027052105270707863,0.0030671938856607506,-0.10362062253531709,0.05410560948003297
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,3.0,10,0.00839982952303478,0.019097835746641596,-0.02842247226158803,0.05458172892265628
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.011386929550284534,0.014701758320248443,-0.06054331855268187,0.06594228245272998
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.0033731616605377373,0.027250926894366055,-0.10888104120163195,0.07344125377429073
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,7.5,10,-0.0005744470251321803,0.007104722385331717,-0.12044506176492537,0.04626412021098928
F2_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,-0.02075472242435211,-0.013200483524496766,-0.11559278224529869,0.05914687086869031
F2_n8,spectral_flatness,collapsed_factor_vs_raw_feature,,10,-0.006930272016835696,0.01248758749460811,-0.15245238253499332,0.07075078738946926
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,1.5,10,-0.022297638616766546,-0.015258258571369197,-0.10201096858796314,0.009652817598896163
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,3.0,10,-0.007902663046434858,0.001595117511897137,-0.10486743919138736,0.033790131491325245
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,4.5,10,0.024354046937541406,0.009735938275621418,-0.0620165177281125,0.10589359252384668
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,6.0,10,-0.010367106097471232,-0.007456521683993931,-0.11452386236320541,0.050488102935227416
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,7.5,10,-0.007574574725743364,0.00231543411293015,-0.07295171421045876,0.0313534764332894
F2_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,-0.027063977060655265,-0.0703300268298157,-0.09065188322554833,0.02999328321699363
F2_n8,spectral_flux,collapsed_factor_vs_raw_feature,,10,-0.014203507824137167,-0.019369557839161857,-0.05639653130268486,0.06370016842434646
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,1.5,10,-0.0013040592513175679,-0.011688351324971834,-0.04617886353009534,0.1531823913970908
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,3.0,10,-0.004169206126767646,-0.00409671912575643,-0.04015248964448935,0.05102247831106739
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,4.5,10,-0.020116273709864484,-0.027045527409411046,-0.0654317478836752,0.023000755911497483
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,6.0,10,-0.007651830365635507,-0.02511463203502671,-0.0802873451244558,0.03839753423356594
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,7.5,10,-0.007531840802688502,-0.02431959311220056,-0.04018881596797832,0.028697593597966115
F2_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.037244474559194767,0.04996685437656536,-0.045487790722152116,0.19802296065858419
F2_n8,spectral_rolloff_85_hz,collapsed_factor_vs_raw_feature,,10,0.010011094676547767,0.031796389220387494,-0.11687454973469916,0.09424903567091593
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.0029453598376628105,0.005604022129772199,-0.10496794827291092,0.0545185460408784
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,3.0,10,0.007877989214730605,0.01876076793207599,-0.041537064828794115,0.057913270441741625
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.01256129795012415,0.015515116671813,-0.06252688497908176,0.06875959321412928
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.008718178547702533,0.030040386426850786,-0.11672299588113716,0.07199574458794165
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.0033254226692647952,0.009125717517918661,-0.10708059573474617,0.04672564034852897
F2_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,-0.07027022679986501,-0.11780777268661559,-0.152881794464554,0.01478364192944856
F2_n8,word_count_per_tr,collapsed_factor_vs_raw_feature,,10,-0.0020788709582415105,-0.015373869661425723,-0.054645942787720066,0.06446409023382572
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,1.5,10,0.014093189351461343,0.0023762908928556866,-0.04147299033486485,0.07241574196286946
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,3.0,10,-0.008276318636784161,-0.020219650497044456,-0.04887288329979315,0.0600880966728166
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,4.5,10,-0.007709836040929912,-0.02047224607375975,-0.05953303887334245,0.03198150924464339
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,6.0,10,0.002975417605826873,-0.011949235879841815,-0.08111383555277311,0.08384720105903398
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,7.5,10,-0.004007929617047932,-0.02867321655787797,-0.08805754967530134,0.06924495752166851
F2_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,0.03306899143726961,0.041495302668148944,-0.050106073089921724,0.18708270841646385
F2_n8,zero_crossing_rate,collapsed_factor_vs_raw_feature,,10,0.009223771536120856,0.027624756242418107,-0.09011366893254222,0.10175017101636688
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,1.5,10,-0.003433824206283227,-0.00131061511259269,-0.09992296639411653,0.04123559891507861
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,3.0,10,0.009352034470773828,0.019405650671123927,-0.02520485289042428,0.059884226266475396
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,4.5,10,0.01672176520810043,0.01678635118945943,-0.06104702807267266,0.0717891479588384
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,6.0,10,0.004118967060900241,0.022644854396872888,-0.10359304447334011,0.07810060078920925
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,7.5,10,-0.0016758902595555756,0.005933235077649404,-0.1167664123196995,0.042002374640367365
F3_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,0.024200603625864882,0.020129877303889047,-0.048539811174093325,0.17012936005760806
F3_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,10,-0.007011814136571379,-0.009708517454069766,-0.13799863254038758,0.12621892979983848
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,10,0.0164647584884726,0.024131541448404657,-0.04833529739356417,0.13580419021597898
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,10,0.005589307193915669,0.009790608352201724,-0.042425843102622256,0.08586850418595363
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,10,-0.004802799680341615,-0.011045062960469388,-0.08966197653820757,0.06611583446479968
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,10,-0.009675477921613752,-0.02260725499731369,-0.11192681463009857,0.09788683428461843
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,10,-0.032541161515815015,-0.028298802460643212,-0.16682634606914631,0.05332038202350911
F3_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,0.008920024843899647,0.007120593581293135,-0.0651139012052305,0.12860584174743966
F3_n8,rms,collapsed_factor_vs_raw_feature,,10,-0.012934410781805928,-0.01499010086098369,-0.14416258271521495,0.11760967619597949
F3_n8,rms,individual_TENT_column_vs_raw_feature,1.5,10,0.009914662359406514,0.018125206188265373,-0.06133744685641988,0.11814132997758106
F3_n8,rms,individual_TENT_column_vs_raw_feature,3.0,10,0.00542890106418295,0.00997331117655453,-0.044679690664011486,0.07583577227129418
F3_n8,rms,individual_TENT_column_vs_raw_feature,4.5,10,-0.006150667119679763,-0.012989439363454812,-0.08981672769393892,0.059346154710255755
F3_n8,rms,individual_TENT_column_vs_raw_feature,6.0,10,-0.01490531659795671,-0.026450102407041827,-0.11234949371750991,0.10542837188128461
F3_n8,rms,individual_TENT_column_vs_raw_feature,7.5,10,-0.037499624793609396,-0.033405765368697715,-0.17210312144837048,0.0539769947251951
F3_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,0.02157396366059807,0.0202548013133296,-0.036682681044000055,0.12113155274316041
F3_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,10,-0.002008601798018735,-0.012455032630135249,-0.12524360417740954,0.11187753826236435
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,10,0.005617961543881971,0.012390996085329233,-0.05853309848814071,0.0693592045779079
