factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F3_n8,rms,individual_TENT_column_vs_raw_feature,7.5,10,-0.03791070826712782,-0.033963039767700855,-0.1721031214483705,0.05397699472519515
F3_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,0.021360624230115473,0.019957593433012538,-0.03668268104400004,0.12113155274316041
F3_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,10,-0.0020901030390538242,-0.012729846418869687,-0.1260377390415657,0.11187753826236443
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,10,0.005611133885496819,0.012382336012626666,-0.058533098488140735,0.06935920457790787
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,10,0.011207366777498097,0.007332982054635327,-0.030617483489093572,0.06319617005380936
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,10,-0.004471210163339737,-0.011859847233428502,-0.08758024254868348,0.04856053369884725
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,10,-0.008767984322548454,-0.025351076694346684,-0.11898282293845885,0.0907502110645794
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,10,-0.013697679217212228,-0.03241364220519247,-0.10838421571924431,0.07531615107733744
F3_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.005291949714793047,-0.010252243021253984,-0.07837852037896556,0.09758895287636067
F3_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,10,0.01182832822135262,0.009433753533669448,-0.14209514966958273,0.14016251820241246
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,10,0.013596952221498145,0.00483059136845548,-0.02968792018998498,0.08415714320583265
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,3.0,10,-0.0013408805616826848,0.0038529704434119177,-0.05786551469757402,0.02616954513460389
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.006820077206821525,0.006548987170768239,-0.092738279319188,0.10915637237405335
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.012322651355163477,0.00992234530539382,-0.1245045457159516,0.1360484081460121
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.006461160970458761,0.01585606279887996,-0.0869205110422593,0.11635306614663793
F3_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.009527663510458464,-0.057189911849903435,-0.13672942952760367,0.09790232456225016
F3_n8,spectral_centroid_hz,collapsed_factor_vs_raw_feature,,10,-0.016251437585490112,-0.030379525816775388,-0.15551548555329286,0.14508877798651396
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,1.5,10,0.0014487227241917976,0.004303518745896273,-0.03966561630330128,0.04707851001014438
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,3.0,10,-0.02588167986026522,-0.029704130385623303,-0.0931140684323899,0.03663929736448195
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,4.5,10,-0.01200009931198274,-0.0291280453490526,-0.1075584682527265,0.11047993296112171
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,6.0,10,-0.0037257437130770728,-0.015135266846740098,-0.14231036989145593,0.1436799606203862
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.0013774825978163825,-0.00029049735655955236,-0.08866084202390888,0.12222211445520495
F3_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,-0.009251068497909269,-0.01292847411616811,-0.06430748719735806,0.07702215103255763
F3_n8,spectral_flatness,collapsed_factor_vs_raw_feature,,10,0.005870537169227508,0.011047124680786048,-0.1497647839034323,0.1455248948496992
F3_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,1.5,10,0.008211679466760363,0.009579517355911688,-0.0296789649208368,0.07458055760051269
